,psu,hhld,sn,abs_sex,abs_age,abs_relhh,abs_edulvl,abs_rsn,abs_nummonth,abs_living,l10_1digit,l10_nsco
10153,1782,7,6,Male,4,Son/Daughter,NA,5,23,India,,NA
10154,1782,7,7,Female,4,Son/Daughter,NA,5,23,India,,NA
10155,1782,7,8,Female,2,Son/Daughter,NA,5,23,India,,NA
10156,1783,15,1,Male,16,Son/Daughter,SLC and equiv.,3,12,Kailali,9,9999
10157,1783,10,1,Male,38,Spouse,Class 7,4,6,India,0,0
10158,1783,20,1,Male,18,Brother/sister,Class 8,4,12,India,J,9629
10159,1783,4,1,Male,60,Father / mother,Literate (Levelless),4,0,India,F,5153
10160,1783,4,2,Female,58,Father / mother,Illiterate,4,0,India,J,9111
10161,1783,4,3,Male,20,Brother/sister,Class 3,4,24,India,F,5153
10162,1783,4,4,Female,20,Other relatives,Class 3,4,8,India,J,9111
10163,1783,4,5,Female,17,Brother/sister,Class 9,7,0,India,9,9999
10164,1783,4,6,Female,13,Brother/sister,Class 4,3,0,India,9,9999
10165,1783,4,7,Male,12,Son/Daughter,Class 1,3,0,India,9,9999
10166,1783,5,1,Male,34,Son/Daughter,Class 3,4,9,India,F,5153
10167,1783,14,1,Male,44,Spouse,Literate (Levelless),4,8,India,J,9412
10168,1783,9,1,Male,64,Spouse,Class 3,4,12,India,F,5153
10169,1783,9,2,Male,38,Son/Daughter,Class 12 and Intermediate,4,8,India,D,3313
10170,1783,9,3,Male,15,Son/Daughter,Class 10,3,2,India,9,9999
10171,1783,9,4,Male,15,Grand son/daughter,Class 10,3,2,India,9,9999
10172,1783,8,1,Male,26,Son/Daughter,Class 10,4,30,Saudi Arabia,J,9112
10173,1783,1,1,Male,22,Son/Daughter,Class 3,4,4,India,J,9112
10174,1783,1,2,Female,21,Daughter-in-law,Class 8,5,4,India,J,0
10175,1783,1,3,Female,1,Grand son/daughter,NA,5,4,India,,NA
10176,1783,1,4,Male,18,Son/Daughter,Class 8,4,10,India,J,9112
10177,1783,7,1,Male,41,Father-in-law / mother-in-law,Class 8,4,25,India,F,5153
10178,1783,7,2,Female,41,Father-in-law / mother-in-law,Illiterate,4,25,India,J,9111
10179,1783,7,3,Male,22,Spouse,Class 8,4,1,India,F,5153
10180,1783,7,4,Male,10,Other relatives,Class 3,5,25,India,9,9999
10181,1783,17,1,Male,63,Father-in-law / mother-in-law,Illiterate,4,5,India,F,5153
10182,1783,17,2,Male,17,Other relatives,Class 7,4,18,India,J,9112
10183,1783,16,1,Male,24,Son/Daughter,Class 9,4,10,India,J,9412
10184,1783,3,1,Male,41,Son/Daughter,Class 8,4,36,India,E,4311
10185,1783,3,2,Female,39,Daughter-in-law,Illiterate,4,36,India,J,9111
10186,1783,3,3,Male,15,Grand son/daughter,Class 9,3,36,India,9,9999
10187,1783,3,4,Male,13,Grand son/daughter,Class 6,3,36,India,9,9999
10188,1783,3,5,Male,33,Son/Daughter,SLC and equiv.,4,24,India,I,8322
10189,1783,3,6,Female,25,Daughter-in-law,Class 9,5,24,India,0,0
10190,1783,3,7,Male,7,Grand son/daughter,Class 2,5,24,India,,NA
10191,1783,3,8,Male,5,Grand son/daughter,Nursery/LKG/UKG,5,24,India,,NA
10192,1783,3,9,Female,3,Grand son/daughter,NA,5,24,India,,NA
10193,1783,3,10,Male,27,Son/Daughter,Class 7,4,12,India,J,9112
10194,1783,3,11,Male,24,Son/Daughter,Bachelor Level and equiv.,4,13,India,D,3313
10195,1783,3,12,Female,19,Daughter-in-law,Class 9,5,13,India,0,0
10196,1783,3,13,Female,0,Grand son/daughter,NA,5,13,India,,NA
10197,1784,11,1,Male,50,Father / mother,Class 8,4,18,India,F,5153
10198,1784,9,1,Male,34,Spouse,Bachelor Level and equiv.,1,4,Achham,C,2330
10199,1784,6,1,Male,24,Spouse,Class 10,4,5,India,J,9112
10200,1784,12,1,Male,28,Son/Daughter,Class 10,1,48,India,J,9112
10201,1784,17,1,Male,47,Spouse,Illiterate,4,14,India,J,9621
10202,1784,17,2,Male,19,Son/Daughter,SLC and equiv.,4,0,India,9,9999
10203,1784,16,1,Male,17,Son/Daughter,Class 9,4,9,India,J,9112
10204,1784,4,1,Male,24,Spouse,Class 4,1,15,India,F,5132
10205,1785,17,1,Male,17,Son/Daughter,Class 5,4,12,India,J,9111
10206,1785,19,1,Male,38,Spouse,Class 7,4,12,India,J,9122
10207,1785,2,1,Male,30,Spouse,Class 5,4,11,India,J,9412
10208,1785,18,1,Male,28,Son/Daughter,Class 10,4,4,India,J,9412
10209,1785,7,1,Male,50,Spouse,Class 3,4,2,India,J,9629
10210,1785,5,1,Male,31,Son/Daughter,Illiterate,4,8,India,J,9111
10211,1785,5,2,Male,28,Son/Daughter,Class 7,4,12,India,J,9629
10212,1785,5,3,Male,25,Son/Daughter,Class 5,4,15,India,J,9111
10213,1785,9,1,Male,25,Spouse,Class 7,4,7,India,J,9412
10214,1785,13,1,Male,50,Spouse,Illiterate,4,2,India,J,9629
10215,1785,4,1,Male,38,Spouse,Class 6,4,18,India,J,9412
10216,1785,12,1,Male,41,Spouse,Class 5,4,14,India,J,9412
10217,1785,8,1,Male,17,Son/Daughter,SLC and equiv.,3,0,Doti,9,9999
10218,1785,3,1,Male,56,Father-in-law / mother-in-law,Literate (Levelless),4,3,India,J,9629
10219,1785,3,2,Female,46,Father-in-law / mother-in-law,Literate (Levelless),4,3,India,J,9321
10220,1785,3,3,Male,35,Spouse,Class 6,4,7,India,J,9412
10221,1785,3,4,Male,18,Other relatives,Class 6,5,36,India,9,9999
10222,1785,16,1,Male,42,Spouse,Class 4,4,11,India,J,9412
10223,1785,14,1,Male,36,Spouse,Class 9,4,1,India,F,5153
10224,1785,11,1,Male,21,Son/Daughter,Class 8,1,14,Kaski,A,310
10225,1785,20,1,Male,13,Son/Daughter,Class 6,4,18,India,J,9112
10226,1785,10,1,Male,36,Spouse,Illiterate,4,2,India,J,9629
10227,1785,10,2,Male,4,Son/Daughter,NA,5,2,India,,NA
10228,1785,1,1,Male,28,Son/Daughter,Illiterate,4,9,India,J,9111
10229,1785,1,2,Male,26,Son/Daughter,Class 6,4,11,India,J,9111
10230,1785,1,3,Female,24,Daughter-in-law,Class 7,7,8,Rupandehi,H,7533
